id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,house_condition,grade,sqft_above,sqft_basement,year_built,zipcode,lat,long,sqft_living_15,sqft_lot_15
7129300520,2014-10-13,22190000.0,3,1.0,1180,5650.0,1.0,0,1,3,7.0,1180.0,0,1955.0,98178,47.5112,-122.257,1340,5650
6414100192,2014-12-09,53800000.0,3,2.25,2570,7242.0,2.0,0,1,3,7.0,2170.0,400,1951.0,98125,47.721,-122.319,1690,7639
5631500400,2015-02-25,18000000.0,2,1.0,770,10000.0,1.0,0,1,3,6.0,770.0,0,1933.0,98028,47.7379,-122.233,2720,8062
2487200875,2014-12-09,60400000.0,4,3.0,1960,5000.0,1.0,0,1,5,7.0,1050.0,910,1965.0,98136,47.5208,-122.393,1360,5000
1954400510,2015-02-18,51000000.0,3,2.0,1680,8080.0,1.0,0,1,3,8.0,1680.0,0,1987.0,98074,47.6168,-122.045,1800,7503
7237550310,2014-05-12,122500000.0,4,4.5,5420,101930.0,1.0,0,1,3,11.0,3890.0,1530,2001.0,98053,47.6561,-122.005,4760,101930
1321400060,2014-06-27,25750000.0,3,2.25,1715,6819.0,2.0,0,1,3,7.0,1715.0,0,1995.0,98003,47.3097,-122.327,2238,6819
2008000270,2015-01-15,29185000.0,3,1.5,1060,9711.0,1.0,0,1,3,7.0,1060.0,0,1963.0,98198,47.4095,-122.315,1650,9711
2414600126,2015-04-15,22950000.0,3,1.0,1780,7470.0,1.0,0,1,3,7.0,1050.0,730,1960.0,98146,47.5123,-122.337,1780,8113
3793500160,2015-03-12,32300000.0,3,2.5,1890,6560.0,2.0,0,1,3,7.0,1890.0,0,2003.0,98038,47.3684,-122.031,2390,7570
1736800520,2015-04-03,66250000.0,3,2.1151728286520752,3560,9796.0,1.0,0,1,3,8.0,1860.0,1700,1965.0,98007,47.6007,-122.145,2210,8925
9212900260,2014-05-27,46800000.0,2,1.0,1160,6000.0,1.0,0,1,4,7.0,860.0,300,1942.0,98115,47.69,-122.292,1330,6000
114101516,2014-05-28,31000000.0,3,1.0,1430,19901.0,1.5,0,1,4,7.0,1430.0,0,1927.0,98028,47.7558,-122.229,1780,12697
6054650070,2014-10-07,40000000.0,3,1.75,1370,9680.0,1.0,0,1,4,7.0,1370.0,0,1977.0,98074,47.6127,-122.045,1370,10208
1175000570,2015-03-12,53000000.0,5,2.0,1810,4850.0,1.5,0,1,3,7.0,1810.0,0,1900.0,98107,47.67,-122.394,1360,4850
9297300055,2015-01-24,65000000.0,4,3.0,2950,5000.0,2.0,0,4,3,9.0,1980.0,970,1979.0,98126,47.5714,-122.375,2140,4000
6865200140,2014-05-29,48500000.0,4,1.0,1600,4300.0,1.5,0,1,4,7.0,1600.0,0,1916.0,98103,47.6648,-122.343,1610,4300
16000397,2014-12-05,18900000.0,2,1.0,1200,9850.0,1.0,0,1,4,7.0,1200.0,0,1921.0,98002,47.3089,-122.21,1060,5095
7983200060,2015-04-24,23000000.0,3,1.0,1250,9774.0,1.0,0,1,4,7.0,1250.0,0,1969.0,98003,47.3343,-122.306,1280,8850
6300500875,2014-05-14,38500000.0,4,1.75,1620,4980.0,1.0,0,1,4,7.0,860.0,760,1947.0,98133,47.7025,-122.341,1400,4980
2524049179,2014-08-26,200000000.0,3,2.75,3050,44867.0,1.0,0,5,3,9.0,2330.0,720,1968.0,9804,47.5316,-122.233,4110,20336
7137970340,2014-07-03,28500000.0,5,2.5,2270,6300.0,2.0,0,1,3,8.0,2270.0,0,1995.0,98092,47.3266,-122.169,2240,7005
8091400200,2014-05-16,25270000.0,2,1.5,1070,9643.0,1.0,0,1,3,7.0,1070.0,0,1985.0,9803,47.3533,-122.166,1220,8386
3814700200,2014-11-20,32900000.0,3,2.25,2450,6500.0,2.0,0,1,4,8.0,2450.0,0,1985.0,9803,47.3739,-122.172,2200,6865
1202000200,2014-11-03,23300000.0,3,2.0,1710,4697.0,1.5,0,1,5,6.0,1710.0,0,1941.0,98002,47.3048,-122.218,1030,4705
1794500383,2014-06-26,93700000.0,3,2.1151728286520752,2450,2691.0,2.0,0,1,3,8.0,1750.0,700,1915.0,98119,47.6386,-122.36,1760,3573
3303700376,2014-12-01,66700000.0,3,1.0,1400,1581.0,1.5,0,1,5,8.0,1400.0,0,1909.0,98112,47.6221,-122.314,1860,3861
5101402488,2014-06-24,43800000.0,3,1.75,1520,6380.0,1.0,0,1,3,7.0,790.0,730,1948.0,98115,47.695,-122.304,1520,6235
1873100390,2015-03-02,71900000.0,4,2.5,2570,7173.0,2.0,0,1,3,8.0,2570.0,0,2005.0,98052,47.7073,-122.11,2630,6026
8562750320,2014-11-10,58050000.0,3,2.5,2320,3980.0,2.0,0,1,3,8.0,2320.0,0,2003.0,98027,47.5391,-122.07,2580,3980
2426039314,2014-12-01,28000000.0,2,1.5,1190,1265.0,3.0,0,1,3,7.0,1190.0,0,2005.0,98133,47.7274,-122.357,1390,1756
461000390,2014-06-24,68750000.0,4,1.75,2330,5000.0,1.5,0,1,4,7.0,1510.0,820,1929.0,98117,47.6823,-122.368,1460,5000
7589200193,2014-11-10,53500000.0,3,1.0,1090,3000.0,1.5,0,1,4,8.0,1090.0,0,1929.0,98117,47.6889,-122.375,1570,5080
7955080270,2014-12-03,32250000.0,4,2.75,2060,6659.0,1.0,0,1,3,7.0,1280.0,780,1981.0,98058,47.4276,-122.157,2020,8720
9547205180,2014-06-13,69600000.0,3,2.5,2300,3060.0,1.5,0,1,3,8.0,1510.0,790,1930.0,98115,47.6827,-122.31,1590,3264
9435300030,2014-05-28,55000000.0,4,1.0,1660,34848.0,1.0,0,1,1,5.0,930.0,730,1933.0,98052,47.6621,-122.132,2160,11467
2768000400,2014-12-30,64000000.0,4,2.0,2360,6000.0,2.0,0,1,4,8.0,2360.0,0,1904.0,98107,47.6702,-122.362,1730,4700
7895500070,2015-02-13,24000000.0,4,1.0,1220,8075.0,1.0,0,1,2,7.0,890.0,330,1969.0,98001,47.3341,-122.282,1290,7800
2078500320,2014-06-20,60500000.0,4,2.5,2620,7553.0,2.0,0,1,3,8.0,2620.0,0,1996.0,98056,47.5301,-122.18,2620,11884
5547700270,2014-07-15,62500000.0,4,2.5,2570,5520.0,2.0,0,1,3,9.0,2570.0,0,2000.0,98074,47.6145,-122.027,2470,5669
7766200013,2014-08-11,77500000.0,4,2.25,4220,24186.0,1.0,0,1,3,8.0,2600.0,1620,1984.0,98166,47.445,-122.347,2410,30617
7203220400,2014-07-07,86199000.0,5,2.75,3595,5639.0,2.0,0,1,3,9.0,3595.0,0,2014.0,98053,47.6848,-122.016,3625,5639
9270200160,2014-10-28,68500000.0,3,1.0,1570,2280.0,2.0,0,1,3,7.0,1570.0,0,1922.0,98119,47.6413,-122.364,1580,2640
1432701230,2014-07-29,30900000.0,3,10.0,1280,9656.0,1.0,0,1,4,6.0,920.0,360,1959.0,98058,47.4485,-122.175,1340,8808
8035350320,2014-07-18,48800000.0,3,2.5,3160,13603.0,2.0,0,1,3,8.0,3160.0,0,2003.0,98019,47.7443,-121.977,3050,9232
8945200830,2015-03-25,21049000.0,3,1.0,990,8528.0,1.0,0,1,3,6.0,990.0,0,1966.0,98023,47.3066,-122.371,1228,8840
4178300310,2014-07-16,78500000.0,4,2.5,2290,13416.0,2.0,0,1,4,9.0,2290.0,0,1981.0,98007,47.6194,-122.151,2680,13685
9215400105,2015-04-28,45000000.0,3,1.75,1250,5963.0,1.0,0,1,4,7.0,1250.0,0,1953.0,98115,47.6796,-122.301,970,5100
822039084,2015-03-11,135000000.0,3,2.5,2753,65005.0,1.0,1,3,5,9.0,2165.0,588,1953.0,9807,47.4041,-122.451,2680,72513
5245600105,2014-09-16,22800000.0,3,1.0,1190,9199.0,1.0,0,1,3,7.0,1190.0,0,1955.0,98148,47.4258,-122.322,1190,9364
7231300125,2015-02-17,34500000.0,5,2.5,3150,9134.0,1.0,0,1,4,8.0,1640.0,1510,1966.0,98056,47.4934,-122.189,1990,9133
